study_accession	parent_study_accession	tax_id
PRJNA479505		1510822
PRJNA480760		
PRJNA481682	PRJNA12319	562
PRJNA482503		
PRJNA482509		433724
PRJNA482748		
PRJNA483794		408170
PRJNA489590		408170
PRJNA489760		
PRJNA492173		749906
PRJNA493204		
PRJNA493625		408170
PRJNA494528		1510822
PRJNA495407		
PRJNA495436		
PRJNA497650		
PRJNA497777		
PRJNA498128		
PRJNA498417		
PRJNA503676		
PRJNA504388		
PRJNA504817		
PRJNA505302		
PRJNA505710		408170
PRJNA505765		410661
PRJNA505922		
PRJNA506640		
PRJNA507734		
PRJNA507914		
PRJNA507937		408170
PRJNA509120		749906
PRJNA511932		
PRJNA513209		
PRJNA515953		
PRJNA516054		408170
PRJNA518140		
PRJNA521666		
PRJNA523678		
PRJNA523806		
PRJNA523864		506600
PRJNA523884		
PRJNA524253		
PRJNA525231		
PRJNA525688		
PRJNA526489		
PRJNA527262		
PRJNA528605		
PRJNA529230		1861841
PRJNA529943		749906
PRJNA530971		
PRJNA533528		
PRJNA533879		
PRJNA541010		
PRJNA542146		
PRJNA542420		749906
PRJNA543520		
PRJNA545214		
PRJNA545546		
PRJNA548382		
PRJNA550456	PRJNA9559	10090
PRJNA551310		
PRJNA552855	PRJNA10804	208526
PRJNA553095		408170
PRJNA553177		646099
PRJNA553851		
PRJNA554535		
PRJNA555020		
PRJNA555204		410656
PRJNA556136		749906
PRJNA556230		
PRJNA556819		
PRJNA556953		
PRJNA557261		
PRJNA560208		
PRJNA560474		1861841
PRJNA560633		
PRJNA561665		
PRJNA562079		
PRJNA562505		1202446
PRJNA565497		408170
PRJNA565607		
PRJNA573981		410661
PRJNA574018		749906
PRJNA574035		
PRJNA575562		
PRJNA576323		646099
PRJNA576999		749906
PRJNA579468		
PRJNA580257		749906
PRJNA587055		
PRJNA587770		
PRJNA588511		
PRJNA588787		
PRJNA588791		410661
PRJNA590085		
PRJNA592830		
PRJNA592853		
PRJNA593240		
PRJNA593343		
PRJNA593618	PRJNA53869	10041
PRJNA593830		
PRJNA594238		
PRJNA594254		
PRJNA594535		
PRJNA594545		
PRJNA595453		
PRJNA597338		
PRJNA598032		506599
PRJNA598094		
PRJNA601115		
PRJNA601225		
PRJNA602878		
PRJNA603295		408170
PRJNA603888		
PRJNA603892		1326787
PRJNA604262		
PRJNA605008		
PRJNA605112		
PRJNA605946		32644
PRJNA606765		
PRJNA606879		
PRJNA609596		
PRJNA609648		
PRJNA610934		
PRJNA611837		
PRJNA613985		
PRJNA614975		
PRJNA615162		256318
PRJNA615202		
PRJNA615647		
PRJNA615774		
PRJNA616703		
PRJNA622393		410661
PRJNA625383		
PRJNA625726	PRJNA12467	749906
PRJNA626375		
PRJNA627060		
PRJNA627093		
PRJNA627503		
PRJNA628713		
PRJNA628749		
PRJNA630698		
PRJNA630864		410661
PRJNA630991		506599
PRJNA633879		
PRJNA634125		
PRJNA634402		
PRJNA634467		
PRJNA636649		
PRJNA636824	PRJEB40770;PRJEB40772	
PRJNA636905		
PRJNA637629		
PRJNA637805		
PRJNA638135		
PRJNA638522		
PRJNA641779		
PRJNA642019	PRJNA9558	9606
PRJNA642723		
PRJNA644788		
PRJNA645287		
PRJNA645785		506599
PRJNA645931		
PRJNA646844		1510822
PRJNA647292		
PRJNA648296		
PRJNA648691		1510822
PRJNA649841		
PRJNA650014		
PRJNA655185		
PRJNA655465		
PRJNA658073		
PRJNA658980		
PRJNA660086		
PRJNA660305		
PRJNA661595		
PRJNA661962		
PRJNA662091		
PRJNA662399		506599
PRJNA662563		
PRJNA663139		
PRJNA663708		
PRJNA665246		408170
PRJNA665348		
PRJNA665727		
PRJNA667830		
PRJNA668130		
PRJNA668656		
PRJNA669212	PRJNA164143	2779891
PRJNA669258		408170
PRJNA669351		
PRJNA669658	PRJNA160775	2780506
PRJNA669660	PRJNA160759	2780507
PRJNA670289		1510822
PRJNA673404		506600
PRJNA673841		1510822
PRJNA675100		
PRJNA675106		
PRJNA675453		1861841
PRJNA678760		
PRJNA679459		
PRJNA680042		
PRJNA680579	PRJNA276486	85831
PRJNA680889		256318
PRJNA680896		
PRJNA682157		1775950
PRJNA682523		
PRJNA683157		408170
PRJNA683934		
PRJNA684483		
PRJNA685389		
PRJNA685581		
PRJNA688133		
PRJNA689589		
PRJNA691570		
PRJNA694233	PRJNA10718	9823
PRJNA694913		
PRJNA694967	PRJNA9559	10090
PRJNA695309		
PRJNA699224		
PRJNA699974		410661
PRJNA699980		410661
PRJNA700065		
PRJNA700826		
PRJNA701972	PRJNA10804	9031
PRJNA702086		
PRJNA703757		
PRJNA704634		
PRJNA705951		1202446
PRJNA706512		
PRJNA707543		
PRJNA707602		410661
PRJNA715658		749906
PRJNA715941		
PRJNA719224		410661
PRJNA719274		
PRJNA719295		
PRJNA719301		
PRJNA719683		
PRJNA720045		
PRJNA720145		
PRJNA720437		
PRJNA720495		
PRJNA720618		
PRJNA720904	PRJEB40770	1131769
PRJNA723119		
PRJNA723169		
PRJNA723299		1510822
PRJNA723505		
PRJNA723726		
PRJNA725200		
PRJNA725898		
PRJNA727025		
PRJNA727271		
PRJNA727842		
PRJNA728204		408170
PRJNA728374		
PRJNA728719		
PRJNA729899		
PRJNA730805		410661
PRJNA731064		506600
PRJNA731173		1218275
PRJNA733325		
PRJNA733573		
PRJNA734298		
PRJNA734639		
PRJNA734646	PRJEB40770	
PRJNA736212		
PRJNA736820		410661
PRJNA737742		
PRJNA738369		
PRJNA738850		
PRJNA739153		
PRJNA739641		
PRJNA741471		
PRJNA741980		1510822
PRJNA742066		
PRJNA742600		
PRJNA743130		
PRJNA744167		
PRJNA744534		
PRJNA745350		
PRJNA745933		
PRJNA747157		
PRJNA748449		
PRJNA749164		
PRJNA749624		1441287
PRJNA751047		
PRJNA751268		
PRJNA751711		
PRJNA752434		
PRJNA753117		
PRJNA755431		
PRJNA756202		
PRJNA758037		
PRJNA758258		
PRJNA758488		
PRJNA761096		410661
PRJNA762159		
PRJNA763001		
PRJNA763809		
PRJNA764175		
PRJNA764176		
PRJNA765053		
PRJNA765158		
PRJNA766997		506600
PRJNA770289		
PRJNA770726		
PRJNA771550		
PRJNA771777		762833
PRJNA772261		
PRJNA773649		
PRJNA774123		
PRJNA775018		
PRJNA776011		
PRJNA776170		
PRJNA776693		410661
PRJNA778041		
PRJNA778070		
PRJNA778098		
PRJNA778532		
PRJNA778633		749906
PRJNA779475		408170
PRJNA779481		
PRJNA779815		
PRJNA779842		
PRJNA780234		
PRJNA780246		749906
PRJNA780429		
PRJNA780611		
PRJNA784088		410661
PRJNA785004		
PRJNA785415		
PRJNA785679		
PRJNA786102		
PRJNA786944		
PRJNA787412		
PRJNA787458		
PRJNA787736		
PRJNA787766		
PRJNA787952		
PRJNA788095		
PRJNA788167		410661
PRJNA788172		408170
PRJNA790477		749906
PRJNA790496		410661
PRJNA791800		
PRJNA792485		
PRJNA794154	PRJEB40770	
PRJNA795185		
PRJNA795214		
PRJNA795512		
PRJNA795857		
PRJNA797231		
PRJNA798450		1602388
PRJNA799167		410661
PRJNA799475		
PRJNA799478		
PRJNA800461		
PRJNA800588		
PRJNA800596		
PRJNA802067		408170
PRJNA803045		
PRJNA803766		
PRJNA805070		
PRJNA805375		
PRJNA807051		
PRJNA808190		
PRJNA808319		
PRJNA808781		1510822
PRJNA809100		
PRJNA809693		
PRJNA810567		
PRJNA810707		
PRJNA810785		
PRJNA811511		
PRJNA813004		
PRJNA813170		
PRJNA814419		
PRJNA814838		
PRJNA816303		410661
PRJNA816668	PRJNA816940	329627
PRJNA816983	PRJNA10718	1510822
PRJNA817426		
PRJNA818097		
PRJNA818147		
PRJNA820522		
PRJNA820564		
PRJNA821627		
PRJNA823665		
PRJNA824403		
PRJNA825559		
PRJNA826530		
PRJNA826648		
PRJNA828277	PRJNA12370	8022
PRJNA830647		506599
PRJNA832124		
PRJNA832208		
PRJNA832548		1436733
PRJNA833901		
PRJNA833950		
PRJNA834584		
PRJNA835299		
PRJNA835803		
PRJNA836642		
PRJNA837737		749906
PRJNA838192		
PRJNA838636		
PRJNA838725		
PRJNA838734		
PRJNA841792		506600
PRJNA843790		
PRJNA844116		
PRJNA844908		
PRJNA844935		
PRJNA846872		
PRJNA848626		
PRJNA849257		
PRJNA851234		
PRJNA854044		410661
PRJNA856392		410661
PRJNA856624		2809082
PRJNA857030		
PRJNA860006	PRJNA9558	9606
PRJNA861930		
PRJNA862255		
PRJNA867563		
PRJNA867564		
PRJNA867698		
PRJNA868147		
PRJNA869874		1861841
PRJNA870914		
PRJNA872293		
PRJNA872491		
PRJNA873241		
PRJNA876212		
PRJNA879101		410661
PRJNA880359		
PRJNA880788		
PRJNA881485	PRJNA9558	9606
PRJNA881788		1436733
PRJNA882239		410661
PRJNA882369		
PRJNA884182		
PRJNA884811		
PRJNA885748		
PRJNA886379		
PRJNA891080		
PRJNA891652		410661
PRJNA892261		
PRJNA893348		
PRJNA893837		
PRJNA894308		
PRJNA894691		
PRJNA895549		410661
PRJNA895924		
PRJNA897842		
PRJNA899487		
PRJNA899682		
PRJNA901136		
PRJNA901215		
PRJNA901512		
PRJNA901541		
PRJNA903779		1202446
PRJNA903920		
PRJNA905444		
PRJNA905699		
PRJNA906507		
PRJNA906639		
PRJNA910326		
PRJNA910806		
PRJNA911601		
PRJNA914879		
PRJNA916349		
PRJNA918369		
PRJNA921822		
PRJNA926124		
PRJNA926516		
PRJNA927035		2705415
PRJNA928563		
PRJNA930556	PRJNA9559	10090
PRJNA931008		
PRJNA931445		
PRJNA938107		
PRJNA938428		
PRJNA939184		
PRJNA941155		
PRJNA941446		
PRJNA949513	PRJNA9559	10090
PRJNA971734		
PRJNA982115		
PRJDB12676		408170
PRJDB8678		749906
PRJEB11827		
PRJEB11845		
PRJEB11953		
PRJEB12079		
PRJEB14928		
PRJEB17702		
PRJEB18471		
PRJEB18679		
PRJEB19253		
PRJEB20227		
PRJEB20777		
PRJEB21817		
PRJEB23029		
PRJEB23223		
PRJEB24929		
PRJEB25162		
PRJEB25194	PRJNA608517	
PRJEB25821		
PRJEB26673		
PRJEB27661		
PRJEB28521		
PRJEB28687		
PRJEB29939		
PRJEB31743		
PRJEB31954		
PRJEB31955		
PRJEB31958		
PRJEB32559		
PRJEB32760		
PRJEB33603		
PRJEB34149		
PRJEB34484		
PRJEB36531		
PRJEB38095		
PRJEB39124		
PRJEB41061		
PRJEB42057		
PRJEB42341		
PRJEB44440		
PRJEB47162		
PRJEB47587		
PRJEB48119		
PRJEB48123		
PRJEB50711		
PRJEB51939		
PRJEB53981		
PRJEB54860		
PRJEB58198		
PRJEB58917		
PRJEB6092		
PRJEB7724		
PRJEB8245		
PRJNA175224		408170
PRJNA202962		410661
PRJNA265870		410661
PRJNA270622		1436733
PRJNA273761		408170
PRJNA278895		1632839
PRJNA299397		749906
PRJNA304186		1602388
PRJNA308944		749906
PRJNA313391		408170
PRJNA320839		410661
PRJNA321010		
PRJNA322688		408170
PRJNA323583		749906
PRJNA325931		408170
PRJNA330990		408171
PRJNA336354		
PRJNA338239		749906
PRJNA339155		1861841
PRJNA339203		
PRJNA350839		
PRJNA354638		749906
PRJNA362214		749906
PRJNA366256		433724
PRJNA369178	PRJNA9559	10090
PRJNA369513		
PRJNA371636	PRJNA10708	9913
PRJNA385903		
PRJNA389481		
PRJNA393465	PRJNA9558	9606
PRJNA397906		408170
PRJNA401034		1861841
PRJNA405701		433724
PRJNA407462		
PRJNA407499	PRJNA9558	9606
PRJNA412270		
PRJNA412704		
PRJNA413199		
PRJNA414024		
PRJNA418114		
PRJNA419191		506599
PRJNA427098		
PRJNA433775		1602388
PRJNA438234	PRJNA12302	59201
PRJNA449358		749906
PRJNA449459		410661
PRJNA449987	PRJNA449986;PRJNA9558	9606
PRJNA471615		
PRJNA475738		410661
PRJNA479462		
PRJNA480547		
PRJNA484031		1861841
PRJNA487588		
PRJNA490881		
PRJNA491467		
PRJNA491477		
PRJNA491720		256318
PRJNA493153	PRJNA9558	9606
PRJNA493943		1510822
PRJNA498431		
PRJNA504932		749906
PRJNA505354		408170
PRJNA505716		
PRJNA506423		
PRJNA506872		256318
PRJNA508476		1441287
PRJNA508806	PRJNA250412	9542
PRJNA510713		
PRJNA510862		
PRJNA511783		
PRJNA511934		
PRJNA518000		
PRJNA528113		
PRJNA530084		
PRJNA531038		1202446
PRJNA531200		
PRJNA531550		749906
PRJNA531761		
PRJNA531879		1077527
PRJNA540192		
PRJNA541228		749906
PRJNA541981		
PRJNA542534		
PRJNA543906		
PRJNA545535		
PRJNA545788		408170
PRJNA547497		
PRJNA548246	PRJNA12370	8022
PRJNA549149		
PRJNA551517		1510822
PRJNA552270		
PRJNA553267		749906
PRJNA558043		749906
PRJNA560659	PRJNA10718	9823
PRJNA561686		
PRJNA562063		
PRJNA563122		
PRJNA563528		
PRJNA565559		
PRJNA573420		506600
PRJNA574485		
PRJNA576784		
PRJNA578403		
PRJNA578547		
PRJNA578628		506600
PRJNA578691		
PRJNA580258		1861841
PRJNA588783		
PRJNA589216		
PRJNA589659		
PRJNA593062		408170
PRJNA593851		
PRJNA593870		408170
PRJNA594720		
PRJNA594732		
PRJNA596853		
PRJNA598789		410661
PRJNA599584		
PRJNA600299		
PRJNA600537		
PRJNA601162		
PRJNA608281		
PRJNA610712		
PRJNA615223		
PRJNA615890		
PRJNA623075		
PRJNA623113		
PRJNA623155		
PRJNA623422		395013
PRJNA623574		
PRJNA624223	PRJEB40770	1861841
PRJNA624902		
PRJNA627086		408170
PRJNA628143		
PRJNA628535		
PRJNA630035		2
PRJNA630369		
PRJNA630859		1510822
PRJNA631217		410661
PRJNA633365		
PRJNA634145		646099
PRJNA634575		
PRJNA634666		
PRJNA634807		
PRJNA636223		
PRJNA636907		
PRJNA637228		
PRJNA639394		
PRJNA639545		
PRJNA640404		
PRJNA640829		
PRJNA643833		
PRJNA644496	PRJNA9558	9606
PRJNA644763		408170
PRJNA645716		410661
PRJNA647429		
PRJNA649307		
PRJNA649589		1861841
PRJNA649741		
PRJNA655119		
PRJNA656071		
PRJNA657645		
PRJNA658576		1711999
PRJNA658922		
PRJNA659050		
PRJNA660966		
PRJNA662015		
PRJNA663997		749906
PRJNA663999		
PRJNA664015		
PRJNA664532		506600
PRJNA664645		
PRJNA664754	PRJNA9558	9606
PRJNA665361		
PRJNA667480		
PRJNA668051		539655
PRJNA668386		
PRJNA668536		
PRJNA669372		
PRJNA669646		
PRJNA670873		506600
PRJNA673073		
PRJNA674675		
PRJNA678598		
PRJNA679297	PRJNA9518	1266529
PRJNA680178		408170
PRJNA682764		
PRJNA683158		749906
PRJNA684124		
PRJNA685398		
PRJNA686247		
PRJNA690936		410661
PRJNA692551		
PRJNA694000		
PRJNA699346		1861841
PRJNA700675		
PRJNA700685		
PRJNA701533		749906
PRJNA701645		
PRJNA702261		
PRJNA704230		
PRJNA705372		410661
PRJNA713927		
PRJNA715350		
PRJNA715837		
PRJNA716352		
PRJNA716740	PRJNA9559	10090
PRJNA718759		
PRJNA721092		
PRJNA721111		408170
PRJNA721617		
PRJNA722680		
PRJNA723356		
PRJNA723498		
PRJNA724901		408170
PRJNA725223		
PRJNA726249		
PRJNA727609		
PRJNA728821		410661
PRJNA729207		
PRJNA730640		
PRJNA731317		
PRJNA732410		
PRJNA736811	PRJNA9558	9606
PRJNA739400		
PRJNA742018		
PRJNA742046		
PRJNA743133		
PRJNA743867		
PRJNA744491		
PRJNA749731		
PRJNA751386		
PRJNA752833		
PRJNA753047		
PRJNA753920		433733
PRJNA754523		
PRJNA755346		
PRJNA755354		
PRJNA760239		410661
PRJNA760324		
PRJNA760678		
PRJNA761235		
PRJNA761503		
PRJNA762025		1436733
PRJNA762235		
PRJNA764525		
PRJNA766355		
PRJNA767860		
PRJNA770103		506599
PRJNA772039		
PRJNA772569		
PRJNA775886		
PRJNA778054		
PRJNA779855		
PRJNA781769		
PRJNA783637		
PRJNA784417		
PRJNA788686		
PRJNA789352		749906
PRJNA791511		
PRJNA791519		
PRJNA793624		
PRJNA796629		410661
PRJNA800253		
PRJNA801240		
PRJNA807120		
PRJNA808959		
PRJNA810087		
PRJNA810508		1436733
PRJNA814321	PRJNA10621	10116
PRJNA814404		
PRJNA816310		
PRJNA817361		
PRJNA824780		
PRJNA824950		
PRJNA826304		
PRJNA832929		
PRJNA835688		
PRJNA841779		410661
PRJNA841809		
PRJNA842916		
PRJNA843999		
PRJNA844268		
PRJNA849401		
PRJNA856173		
PRJNA857152		410661
PRJNA858605		
PRJNA861087		2943808
PRJNA861113		
PRJNA862324		
PRJNA866881		
PRJNA869365		
PRJNA872483		
PRJNA873140		
PRJNA873789		
PRJNA876080	PRJNA9559	10090
PRJNA887417		1510822
PRJNA887434		410661
PRJNA892265		
PRJNA893835		
PRJNA894340		
PRJNA898628		
PRJNA901020		
PRJNA905862		
PRJNA906033		
PRJNA906348		
PRJNA908810		
PRJNA909169		
PRJNA915230		
PRJNA917292		
PRJNA918506		
PRJNA919413		
PRJNA923180		
PRJNA923595		
PRJNA925287		
PRJNA927136		
PRJNA936077		
PRJNA967718		
PRJDB536		1232446
PRJNA158313		749906
PRJNA290380		408170
PRJNA300541		527639
PRJNA42359		703336
PRJNA599102	PRJNA9559	10090
PRJDB527		1232449
PRJDB528		1232447
PRJDB532		1232443
PRJDB537		1232453
PRJNA111673	PRJNA9559	10090
PRJNA19107		433724
PRJNA20195	PRJNA20677	408170
PRJNA27867	PRJNA28117	408170
PRJNA27871	PRJNA28117	408170
PRJNA27877	PRJNA28117	408170
PRJNA396906	PRJNA160911	184912
PRJNA489897		
PRJNA550524		
PRJNA630269	PRJNA9559	10090
PRJDB523	PRJNA37593	1232440
PRJDB533		1232452
PRJDB543		1232458
PRJEB33904		
PRJEB43350		
PRJNA125203	PRJNA10726	9615
PRJNA27861	PRJNA28117	408170
PRJNA453152	PRJNA9558	9606
PRJNA549787		
PRJNA556993		
PRJNA647720		
PRJDB535		1232445
PRJDB540		1232454
PRJNA112095		
PRJNA118093	PRJNA9559	10090
PRJNA211823	PRJNA211821	
PRJNA211824	PRJNA211821;PRJNA9559	10090
PRJNA27857	PRJNA28117	408170
PRJNA27869	PRJNA28117	408170
PRJNA27873	PRJNA28117	408170
PRJNA354235		
PRJNA46937	PRJNA46941	408170
PRJNA46939	PRJNA46941	408170
PRJNA474477	PRJNA9559	10090
PRJNA474935	PRJNA9559	10090
PRJNA632830	PRJNA9559	10090
PRJNA744159	PRJNA744149;PRJNA9559	10090
PRJDB521		1232438
PRJDB522		1232439
PRJDB525		1232442
PRJDB526		1232448
PRJDB534		1232444
PRJDB541		1232457
PRJDB542		1232460
PRJNA100795	PRJNA9559	10090
PRJNA145879	PRJNA9558	9606
PRJNA20193	PRJNA20677	408170
PRJNA27855	PRJNA28117	408170
PRJNA27859	PRJNA28117	408170
PRJNA27863	PRJNA28117	408170
PRJNA27865	PRJNA28117	408170
PRJNA27875	PRJNA28117	408170
PRJNA27879	PRJNA28117	408170
PRJNA356544	PRJNA9558	9606
PRJNA49397		749906
PRJNA529899	PRJNA9559	10090
PRJNA647715		
PRJNA744163	PRJNA15707;PRJNA218155;PRJNA744149	1093790
PRJDB12731	PRJNA202947	1971605
PRJDB3158		749906
PRJDB5678		408170
PRJDB6400		410661
PRJDB7204		1202446
PRJDB7689		410661
PRJEB10827		
PRJEB1197		
PRJEB1266		
PRJEB12669		
PRJEB12677		
PRJEB14536		
PRJEB14586		
PRJEB14844		
PRJEB15111		
PRJEB15362		
PRJEB15377		
PRJEB15410		
PRJEB15501		
PRJEB15713		
PRJEB19677		
PRJEB19937		
PRJEB20103		
PRJEB21354		
PRJEB22005		
PRJEB22108		
PRJEB22561		
PRJEB22863		
PRJEB23261		
PRJEB23313		
PRJEB23897		
PRJEB23916		
PRJEB24843		
PRJEB24846		
PRJEB24861		
PRJEB26478		
PRJEB26596		
PRJEB26701		
PRJEB27275		
PRJEB27517		
PRJEB28290		
PRJEB28395		
PRJEB28730		
PRJEB29017		
PRJEB30346		
PRJEB30418		
PRJEB31490		
PRJEB32716		
PRJEB33360		
PRJEB33794		
PRJEB35362		
PRJEB36797		
PRJEB37635		
PRJEB37953		
PRJEB38343		
PRJEB38765		
PRJEB39023		
PRJEB39375		
PRJEB39465		
PRJEB39545		
PRJEB39960		
PRJEB40733		
PRJEB41442		
PRJEB41785		
PRJEB4336		
PRJEB45766		
PRJEB46098	PRJEB53706	
PRJEB4647		
PRJEB48668		
PRJEB48802		
PRJEB49639		
PRJEB50289		
PRJEB50473		
PRJEB51055		
PRJEB51496		
PRJEB52881		
PRJEB52935		
PRJEB55067		
PRJEB55076		
PRJEB56304		
PRJEB56782		
PRJEB59335		
PRJEB6172		
PRJEB63083		
PRJEB63580		
PRJEB6634		
PRJEB6896		
PRJEB6905		
PRJEB7925		
PRJEB8492	PRJEB27167	
PRJEB9818		
PRJNA120301	PRJNA9559	10090
PRJNA128513	PRJNA9558	9606
PRJNA133123	PRJNA130427;PRJNA9559	10090
PRJNA133205	PRJNA130427;PRJNA9558	9606
PRJNA136593		
PRJNA142627	PRJNA134009	
PRJNA147473	PRJNA13111	272559
PRJNA147851	PRJNA9559	10090
PRJNA148315	PRJNA130427;PRJNA9559	10090
PRJNA148317	PRJNA130427;PRJNA9559	10090
PRJNA171137	PRJNA9559	10090
PRJNA171882	PRJNA9559	10090
PRJNA174568	PRJNA9559	10090
PRJNA174693	PRJNA9558	9606
PRJNA184303	PRJNA9559	10090
PRJNA196648	PRJNA9559	10090
PRJNA203148	PRJNA9559	10090
PRJNA206089		408170
PRJNA213161		749906
PRJNA213980	PRJNA9559	10090
PRJNA216909	PRJNA10718	9823
PRJNA225800		
PRJNA225925		910258
PRJNA227062		408170
PRJNA233490		749906
PRJNA246578	PRJNA9559	10090
PRJNA247780		410661
PRJNA248883	PRJNA248915;PRJNA9559	10090
PRJNA248915		
PRJNA248916	PRJNA248915;PRJNA9559	10090
PRJNA248917	PRJNA248915;PRJNA9559	10090
PRJNA255683		749906
PRJNA255853	PRJNA9559	10090
PRJNA258549		
PRJNA258552	PRJNA258549;PRJNA9559	10090
PRJNA259309		749906
PRJNA261982	PRJNA18223	1680
PRJNA263625	PRJNA11760	749906
PRJNA264400		527639
PRJNA265933	PRJNA35585	326426
PRJNA270757	PRJNA9559	10090
PRJNA270789	PRJNA49537	749906
PRJNA276586		749906
PRJNA280522	PRJNA9559	10090
PRJNA283828	PRJNA9559	10090
PRJNA290381		408170
PRJNA294369		408170
PRJNA299190	PRJNA299602;PRJNA9559	10090
PRJNA299602		
PRJNA304009		408170
PRJNA305478	PRJNA9559	10090
PRJNA306172	PRJNA9559	10090
PRJNA307598	PRJNA9559	10090
PRJNA314839		1202446
PRJNA315835	PRJNA479754;PRJNA9559	10090
PRJNA318788		408170
PRJNA319170	PRJNA10621;PRJNA319167	10116
PRJNA320627	PRJNA9559	10090
PRJNA320629	PRJNA9559	10090
PRJNA325814		
PRJNA327552	PRJNA10621	10116
PRJNA328987		
PRJNA329110	PRJNA9559	10090
PRJNA336350		
PRJNA339737		
PRJNA341455	PRJNA12299	197
PRJNA343248	PRJNA9559	10090
PRJNA347484		749906
PRJNA347487		408170
PRJNA348149		408170
PRJNA350319		410661
PRJNA353599	PRJNA9559	10090
PRJNA354702		
PRJNA356614	PRJNA9559	10090
PRJNA359187	PRJNA360113;PRJNA9559	10090
PRJNA368790		
PRJNA368842	PRJNA10804	9031
PRJNA371227	PRJNA9559	10090
PRJNA371228	PRJNA9559	10090
PRJNA379314	PRJNA380408;PRJNA9558	9606
PRJNA379474	PRJNA9559	10090
PRJNA381395		408170
PRJNA382132	PRJNA9559	10090
PRJNA382350	PRJNA9559	10090
PRJNA386906		
PRJNA388104	PRJNA9559	10090
PRJNA389570	PRJNA9526	5476
PRJNA390686		
PRJNA394877		
PRJNA395063	PRJNA9559	10090
PRJNA395660		
PRJNA396454	PRJNA9526	5476
PRJNA396964	PRJNA171119	749906
PRJNA397422	PRJNA9558	9606
PRJNA398089	PRJNA395569	646099
PRJNA412624	PRJNA9532	5759
PRJNA414071	PRJNA9559	10090
PRJNA414124		
PRJNA414436	PRJNA10621	10116
PRJNA414712		1616037
PRJNA415568	PRJNA9559	10090
PRJNA417486	PRJNA479754;PRJNA9559	10090
PRJNA417579		
PRJNA418310	PRJNA479754;PRJNA9559	10090
PRJNA419860		1729361
PRJNA419862		1861841
PRJNA419895		
PRJNA420927		
PRJNA422619	PRJNA422620;PRJNA9559	10090
PRJNA433535	PRJNA9554	7227
PRJNA434573		
PRJNA435503	PRJNA12875;PRJNA83989	6087
PRJNA435958		
PRJNA437083	PRJNA445866;PRJNA9559	10090
PRJNA438663	PRJNA9558	9606
PRJNA451302	PRJNA9558	9606
PRJNA453840		
PRJNA471910	PRJNA309767;PRJNA9559	10090
PRJNA471911	PRJNA309767;PRJNA9559	10090
PRJNA471912	PRJNA309767;PRJNA9559	10090
PRJNA471913	PRJNA309767;PRJNA9559	10090
PRJNA472338	PRJNA9559	10090
PRJNA472418	PRJNA89467	7067
PRJNA472763	PRJNA9559	10090
PRJNA473517		
PRJNA474010	PRJNA10718	9823
PRJNA476301		410661
PRJNA476417		2
PRJNA476578	PRJNA479754;PRJNA9559	10090
PRJNA482681		
PRJNA487598		
PRJNA492716		408170
PRJNA494239		
PRJNA494240	PRJNA494239;PRJNA9558	9606
PRJNA494241	PRJNA494239;PRJNA9558	9606
PRJNA506228	PRJNA9559	10090
PRJNA510080		
PRJNA511459		
PRJNA513988	PRJNA9559	10090
PRJNA516195	PRJNA9559	10090
PRJNA516365		
PRJNA516681	PRJNA9558	9606
PRJNA524321	PRJNA9559	10090
PRJNA524861	PRJNA524917;PRJNA9559	10090
PRJNA524867	PRJNA524917;PRJNA9559	10090
PRJNA525701		749906
PRJNA527280		
PRJNA530070		1861841
PRJNA532725		506599
PRJNA533610		
PRJNA543853	PRJNA9558	9606
PRJNA545891		
PRJNA546606	PRJNA9559	10090
PRJNA548380	PRJNA9559	10090
PRJNA549513		
PRJNA552405		
PRJNA552861		
PRJNA558393	PRJNA9559	10090
PRJNA562883	PRJNA160919	2666074
PRJNA562885	PRJNA160919	2666073
PRJNA564093	PRJNA9548	6239
PRJNA564305		
PRJNA564752		
PRJNA575699	PRJNA575698;PRJNA9559	10090
PRJNA575802	PRJNA575698	410661
PRJNA577118	PRJNA9559	10090
PRJNA579388	PRJNA9559	10090
PRJNA579597	PRJNA580051	410661
PRJNA588290	PRJNA9558	9606
PRJNA588467		
PRJNA589343		
PRJNA591205		
PRJNA595855	PRJNA9559	10090
PRJNA595879	PRJNA9559	10090
PRJNA600829		1202446
PRJNA60251		506599
PRJNA602954		
PRJNA603270	PRJNA9559	10090
PRJNA603791	PRJNA35225	818
PRJNA604637	PRJNA9559	10090
PRJNA608462	PRJNA608457;PRJNA9559	10090
PRJNA608463	PRJNA608457;PRJNA9559	10090
PRJNA608465	PRJNA608457;PRJNA9559	10090
PRJNA612180	PRJNA9558	9606
PRJNA616358		
PRJNA625546	PRJNA9559	10090
PRJNA629392		
PRJNA631843	PRJNA9559	10090
PRJNA648708	PRJNA9559	10090
PRJNA648916	PRJNA9559	10090
PRJNA655462	PRJNA9559	10090
PRJNA656803	PRJNA9559	10090
PRJNA657176	PRJNA9559	10090
PRJNA657263	PRJNA9559	10090
PRJNA659007	PRJNA659836;PRJNA9558	9606
PRJNA673312	PRJNA673145;PRJNA9559	10090
PRJNA673313	PRJNA673145;PRJNA9559	10090
PRJNA673314	PRJNA673145;PRJNA9559	10090
PRJNA679769	PRJNA9559	10090
PRJNA68497	PRJNA160919;PRJNA70149	1054942
PRJNA68847	PRJNA160919;PRJNA70149	1054943
PRJNA697954	PRJNA9558	9606
