study_accession	parent_study_accession	tax_id
PRJNA892997		410661
PRJEB38835		
PRJNA766639	PRJNA10621	10116
PRJNA128035	PRJNA9559	10090
PRJDB7456		408170
PRJNA315040		408170
PRJEB10590		
PRJEB12357		
PRJEB19090		
PRJEB19904		
PRJEB21999		
PRJEB24778		
PRJEB24791		
PRJEB24847		
PRJEB26097		
PRJEB26161		
PRJEB26162		
PRJEB26277		
PRJEB26833		
PRJEB26925		
PRJEB27005		
PRJEB29310		
PRJEB29328		
PRJEB29339		
PRJEB34992		
PRJEB35512		
PRJEB42270		
PRJEB43454		
PRJEB54666		
PRJNA132807	PRJNA9559	10090
PRJNA145383		
PRJNA169114		1202446
PRJNA221649		410661
PRJNA224976		408170
PRJNA278393		408170
PRJNA324288	PRJNA9557	7955
PRJNA339744	PRJNA339737;PRJNA9559	10090
PRJNA344959		1861841
PRJNA395252	PRJNA9559	10090
PRJNA450595	PRJNA9559	10090
PRJNA524900	PRJNA524917;PRJNA9559	10090
PRJNA598200	PRJNA9559	10090
PRJNA608916	PRJNA9559	10090
PRJNA615672	PRJNA9558	9606
PRJNA631097	PRJNA10621	10116
PRJNA631936	PRJNA9557	7955
PRJNA635681	PRJNA9559	10090
PRJNA659649	PRJNA659901;PRJNA9559	10090
PRJNA659904	PRJNA659901;PRJNA9559	10090
PRJNA682382		
PRJNA688076	PRJNA9559	10090
PRJNA688077	PRJNA9559	10090
PRJNA754089	PRJNA9559	10090
PRJNA755657	PRJNA9559	10090
PRJNA763625	PRJNA9559	10090
PRJNA769050	PRJNA9559	10090
PRJNA774736	PRJNA9559	10090
PRJNA812785		
PRJNA814201	PRJNA9558	9606
PRJNA839258		2
PRJNA849530	PRJNA564305;PRJNA9559	10090
PRJNA893378		
PRJEB1238		
PRJEB31510		
PRJEB32562		
PRJEB40849		
PRJEB43065		
PRJEB45047		
PRJEB4882		
PRJEB57347		
PRJEB5780		
PRJNA561691		749906
PRJNA576029		1436733
PRJNA576270		
PRJNA601279		1861841
PRJNA723140		
PRJNA787378		
